account_id,account_name,service,period1_cost,period2_cost,difference,pct_change
ALL,ALL ACCOUNTS,Amazon Kinesis,2060.87,5093.08,3032.21,+147.1%
ALL,ALL ACCOUNTS,Amazon Simple Storage Service,979.61,2865.08,1885.47,+192.5%
ALL,ALL ACCOUNTS,Amazon Elastic Compute Cloud - Compute,2142.96,3885.69,1742.73,+81.3%
ALL,ALL ACCOUNTS,Amazon Elastic Container Service,210.81,1713.83,1503.01,+713.0%
ALL,ALL ACCOUNTS,Amazon Timestream,3198.31,1716.44,-1481.87,-46.3%
ALL,ALL ACCOUNTS,EC2 - Other,2393.41,3521.37,1127.96,+47.1%
ALL,ALL ACCOUNTS,Amazon OpenSearch Service,137.51,1256.03,1118.52,+813.4%
ALL,ALL ACCOUNTS,Amazon Elastic Container Service for Kubernetes,360.0,1462.87,1102.87,+306.4%
ALL,ALL ACCOUNTS,Amazon QuickSight,882.29,0.0,-882.29,-100.0%
ALL,ALL ACCOUNTS,Amazon Managed Streaming for Apache Kafka,2400.52,3205.55,805.03,+33.5%
ALL,ALL ACCOUNTS,Amazon Virtual Private Cloud,306.53,993.95,687.42,+224.3%
ALL,ALL ACCOUNTS,AmazonCloudWatch,2169.53,2849.25,679.73,+31.3%
ALL,ALL ACCOUNTS,Amazon Relational Database Service,69.67,663.33,593.66,+852.1%
ALL,ALL ACCOUNTS,Amazon Kinesis Analytics,1450.7,1930.63,479.93,+33.1%
ALL,ALL ACCOUNTS,Amazon DynamoDB,1493.13,1969.31,476.19,+31.9%
ALL,ALL ACCOUNTS,AWS IoT,473.64,921.23,447.6,+94.5%
ALL,ALL ACCOUNTS,AWS Support (Business),578.28,940.47,362.19,+62.6%
ALL,ALL ACCOUNTS,Amazon Elastic Load Balancing,149.23,496.58,347.35,+232.8%
ALL,ALL ACCOUNTS,CloudWatch Events,653.11,990.35,337.24,+51.6%
ALL,ALL ACCOUNTS,AWS Key Management Service,2.9,321.73,318.84,+11012.7%
ALL,ALL ACCOUNTS,AWS Lambda,721.47,919.8,198.33,+27.5%
ALL,ALL ACCOUNTS,AWS Glue,458.06,396.94,-61.12,-13.3%
ALL,ALL ACCOUNTS,AWS Config,263.76,324.6,60.83,+23.1%
ALL,ALL ACCOUNTS,Amazon Managed Service for Prometheus,0.0,55.68,55.68,NEW
ALL,ALL ACCOUNTS,Amazon Simple Queue Service,188.03,241.77,53.74,+28.6%
ALL,ALL ACCOUNTS,Amazon API Gateway,54.61,9.75,-44.86,-82.1%
ALL,ALL ACCOUNTS,Amazon Kinesis Firehose,129.29,171.64,42.35,+32.8%
ALL,ALL ACCOUNTS,AWS Secrets Manager,16.25,57.5,41.25,+253.9%
ALL,ALL ACCOUNTS,AWS App Runner,0.0,40.98,40.98,NEW
ALL,ALL ACCOUNTS,AWS Backup,139.21,99.97,-39.25,-28.2%
ALL,ALL ACCOUNTS,AWS Amplify,0.0,14.5,14.5,+12316770.4%
ALL,ALL ACCOUNTS,AWS CloudTrail,5.4,18.4,12.99,+240.6%
ALL,ALL ACCOUNTS,Amazon ElastiCache,378.92,367.26,-11.66,-3.1%
ALL,ALL ACCOUNTS,Amazon EC2 Container Registry (ECR),16.67,27.52,10.84,+65.0%
ALL,ALL ACCOUNTS,AWS X-Ray,10.32,0.0,-10.32,-100.0%
ALL,ALL ACCOUNTS,AWS WAF,0.0,10.03,10.03,NEW
ALL,ALL ACCOUNTS,Amazon Simple Notification Service,7.22,15.74,8.52,+118.1%
ALL,ALL ACCOUNTS,Amazon Route 53,6.77,13.78,7.0,+103.4%
ALL,ALL ACCOUNTS,Amazon SageMaker,173.88,168.12,-5.76,-3.3%
ALL,ALL ACCOUNTS,AWS CodeArtifact,7.64,10.97,3.33,+43.7%
ALL,ALL ACCOUNTS,Amazon Elastic File System,1.48,4.36,2.88,+194.3%
ALL,ALL ACCOUNTS,Amazon Lightsail,13.55,13.1,-0.45,-3.3%
ALL,ALL ACCOUNTS,AWS IoT Device Management,0.0,0.33,0.32,+14395.5%
ALL,ALL ACCOUNTS,AWS Systems Manager,5.0,4.82,-0.19,-3.8%
ALL,ALL ACCOUNTS,AWS Greengrass,0.16,0.32,0.16,+100.0%
ALL,ALL ACCOUNTS,AWS Cost Explorer,0.0,0.08,0.08,NEW
ALL,ALL ACCOUNTS,AWS Payment Cryptography,0.0,0.05,0.05,NEW
ALL,ALL ACCOUNTS,Amazon Simple Email Service,0.03,0.0,-0.02,-82.7%
ALL,ALL ACCOUNTS,Amazon Location Service,0.02,0.01,-0.01,-67.7%
ALL,ALL ACCOUNTS,AWS Cloud Map,0.19,0.19,-0.0,-0.1%
ALL,ALL ACCOUNTS,TOTAL,24710.94,39784.95,15074.01,+61.0%
059176766147,wifi-int,AmazonCloudWatch,94.09,441.01,346.93,+368.7%
059176766147,wifi-int,Amazon Kinesis,89.49,406.96,317.48,+354.8%
059176766147,wifi-int,Amazon Simple Storage Service,103.03,338.5,235.47,+228.6%
059176766147,wifi-int,Amazon Elastic Container Service,0.0,178.01,178.01,NEW
059176766147,wifi-int,EC2 - Other,247.89,386.22,138.33,+55.8%
059176766147,wifi-int,Amazon Virtual Private Cloud,21.61,127.86,106.26,+491.8%
059176766147,wifi-int,Amazon Relational Database Service,0.0,101.92,101.92,NEW
059176766147,wifi-int,CloudWatch Events,149.65,234.08,84.43,+56.4%
059176766147,wifi-int,AWS Lambda,110.8,190.2,79.4,+71.7%
059176766147,wifi-int,AWS IoT,97.78,171.22,73.44,+75.1%
059176766147,wifi-int,Amazon Elastic Container Service for Kubernetes,72.0,117.6,45.6,+63.3%
059176766147,wifi-int,AWS Glue,0.0,45.15,45.15,NEW
059176766147,wifi-int,Amazon Managed Streaming for Apache Kafka,727.32,768.18,40.86,+5.6%
